county,latitude,longitude,region,M alpina,M ambigua,M elongata,M exigua,M gamsii,M wolfii,M sarnyensis,M zonata,M fluviae,total
Bedford,40.12605,-78.60696,1,1,0,1,1,1,0,0,0,0,5
Bradford,41.877616,-76.504535,2,1,0,3,0,0,0,0,0,0,7
Bucks,40.3557646,-75.23040567,3,0,0,1,0,1,0,1,0,0,7
Butler,40.718888,-79.963888,4,2,0,3,0,0,0,0,0,0,10
Cambria ,40.52148,-78.79209,5,0,0,0,4,0,0,0,0,0,11
Centre,40.831828,-77.834464,6,10,3,3,3,2,0,0,0,0,30
Dauphin,40.193175,-76.674922,7,2,1,10,1,1,1,0,0,0,28
Lancaster,40.196937,-76.531366,8,1,0,6,0,1,0,0,0,0,22
Lebanon,40.28186,-76.401,9,1,1,9,0,0,0,0,0,0,27
McKean,41.86532,-78.34303,10,1,0,6,0,2,0,0,0,1,28
Mercer,41.172,-80.181,11,0,0,1,2,0,0,0,0,0,22
Northumberland ,40.929025,-76.67868,12,1,0,5,3,0,0,0,0,0,30
Perry,40.387985,-77.263898,13,0,2,6,4,1,0,0,0,0,36
Snyder,40.823858,-77.126888,14,2,1,5,2,2,0,0,1,0,38
Somerset,40.23904,-78.91912,15,0,0,3,0,2,0,0,0,0,32
Tioga,41.706101,-77.376175,16,4,0,0,1,0,0,1,0,0,34
